SCIENTIFIC_NAME	FAMILY	CONSERVATION_ACT_1992	EPBC_ACT_1999	AUSTRALIAN	PERCENTAGE	HABITAT	SPECIES_PROFILE							
Corynocarpus rupestris subsp. arborescens	Corynocarpaceae	Vulnerable	Not listed	Yes	0.09	Notophyll vineforest	"Corynocarpus rupestris subsp. arborescens is a vulnerable native species growing in dry and subtropical rainforest and vine thickets in South East Queensland. Found mostly on dry stony slopes, it can grow into a tall shrub or small tree up to 12 metres. Green leathery leaves are arranged alternately or in whorls, with toothed margins while juvenile that become entire. Small white flowers are borne in clusters from October to November followed by glossy red fruit. "							
Cryptocarya hypospodia	Lauraceae	Least concern	Not listed	Yes	0.09	Wet and dry rainforest	"Glossy laurel, Cryptocarya hypospodia is a timber tree reaching 30 metres in height. It naturally occurs in Eastern Australia and New Guinea.  In Queensland, it occurs in rainforests of various types, particularly gallery forests on soils derived from a variety of rock types. The bark of the tree is bark usually nondescript; however, it does emit an odour, often described as peppery. Flowers are unpleasantly perfumed and followed up dark globular shaped fruit. The fruit is a major food source for birds in the wild. "							
Cryptocarya laevigata	Lauraceae	Least concern	Not listed	Yes	0.09	Rainforest								
Cryptocarya mackinnoniana	Lauraceae	Least concern	Not listed	Yes	0.09	Rainforest								
Cryptocarya obovata	Lauraceae	Least concern	Not listed	Yes	0.26	Rainforest	"The Pepperberry tree or white walnut, Cryptocarya obovata is a large rainforest tree which can reach 30 m tall.  Found naturally in dry rainforests and along moist scrubby watercourses it occurs from Gympie and the Bunya Mountains in Queensland to Port Stephens in New South Wales.  The trunk of the tree is straight and often buttressed at the base.  Cream coloured flowers form from February to May followed up black globular drupe ribbed fruit.  The fruit is relished by birds. "							
Cryptocarya triplinervis	Lauraceae	Least concern	Not listed	Yes	0.26	Rainforest	"Three veined laurel, Cryptocarya triplinervis is a rainforest tree which reaches 20 metres in height. This tree gets its name from the three veined leaves with are easily seen. The mid vein which is depressed on the upper side and raised on the lower side of the leaf. Net veins are easily seen on the underside of the leaf. "							
Cupaniopsis anacardioides	Sapindaceae	Least concern	Not listed	Yes	1.05	"Rainforest, dry vine forest and open forest"	"Tuckeroo, Cupaniopsis anacardioides is a rainforest tree native to eastern and northern Australia reaching up to 10 metres tall. Used commonly as an ornamental or street tree it forms flowers from May to July followed by orange to yellow three lobed fruit.  The fruit are consuming by many birds including the Australasian figbird, olive-backed oriole and pied currawong."							
Cupaniopsis parvifolia	Sapindaceae	Least concern	Not listed	Yes	0.44	Dry vine thickets and open forest	"The small leaved tuckeroo, Cupaniopsis parvifolia is a dry rainforest tree growing up to 20 m tall.  This hardy tree is suitable for drier sites however slow growing. Cream flowers form from September to October. Fruit follows flowering the capsule is yellow, rough-skinned, 3 lobed and densely hairy inside."							
Cupaniopsis tomentella	Sapindaceae	Vulnerable	Vulnerable	Yes	0.09	Vine thickets	"Boonah Tuckeroo, is a tree to 10 m tall. It  is known only from an area between Boonah and Ipswich in south-eastern Queensland. It grows in vine thickets predominantly on fertile clay soils. These areas have been extensively cleared for agriculture and close settlement over the last 150 years, and the only seven known occurrences are confined to small isolated remnants on scree slopes and roadsides. "							
Davidsonia jerseyana	Cunoniaceae	Least concern	Endangered	Yes	0.09	Rainforest	"The Mullumbimby Plum, Davidsonia jerseyana is considered endangered in the wild however also widely cultivated by domestic and commercial gardeners.  It produces pleasantly sour red-fleshed fruits that are high in antioxidants and vitamins."							
Davidsonia johnsonii	Cunoniaceae	Endangered	Endangered	Yes	0.18	Rainforest	"Davidson's plum, Davidsonia johnsonii is a small rainforest tree native to eastern Australia.  Threatened in the wild due to habitat loss this tree is best known for its sour fruit which are popular in jams. Plants take at least six years to produce fruit the fruit are high in antioxidants and vitamins. "							
Davidsonia pruriens	Cunoniaceae	Least concern	Not listed	Yes	0.18	Rainforest	"Davidson's Plum, Davidsonia pruriens is a medium-sized rainforest tree from northern Queensland.  It produces edible dark burgundy colored fruit in large clusters from the branches or the trunk."							
Delonix regia	Fabaceae	Not listed	Not listed	No	0.53	Dry deciduous forests	"The Royal poinciana, Delonix regia is a popular ornamental tree noted for ites fern-like leaves and flamboyant display or orange-red flowers over summer.  Its native to Madagascar’s dry deciduous forests where it is endangered in the wild.  This tree has been widely cultivated and has naturalised in many locations where it can be considered an environmental weed. "							
Denhamia disperma	Celastraceae	Least concern	Not listed	Yes	0.09	Seasonally dry coastal and near coastal vine forest and thickets	"Orange bush or the Orange boxwood, Denhamia disperma occurs from North Eastern Queensland southwards to North-eastern New South Wales. Growing in direr rain forest and monsoon forest this tree derives its common name from its bark which has a thin orange layer visible when the twig bark is scraped with a knife."							
Diploglottis australis	Sapindaceae	Least concern	Not listed	Yes	0.18	Rainforest	"The native tamarind, Diploglottis australis is a rainforest tree native to eastern Australia.  Reaching a height of 35 metres this tall tree grows in a variety of different rainforests, on basaltic and rich alluvial soils. Creamy brown flowers form in Spring, maturing from October to January. The fleshy yellow-orange fruit is sour to taste, but like the Asian Tamarind, may be enjoyed raw or processed into jams, jellies, sauces, candies and drinks."							
Diploglottis campbellii	Sapindaceae	Endangered	Endangered	Yes	0.35	Rainforest	"The Small-leaved tamarind, Diploglottis campbellii is a rainforest tree northern New South Wales and south-eastern Queensland reaching a height of 30 metres tall. This species is listed as Endangered at both a State and National level known to occur in small clusters at 25 known sites, 20 in New South Wales and five in Queensland. The total population is estimated to be 106 mature trees plus immature trees, saplings and seedings. Each site consists of less than 20 adults, with only nine sites actively recruiting seedlings and juveniles. Clearing and fragmentation of rainforest habitat is believed to be the primary reason for decline and subsequent sustained low population numbers."							
Dysoxylum fraserianum	Meliaceae	Least concern	Not listed	Yes	0.09	Rainforest								
Dysoxylum rufum	Meliaceae	Least concern	Not listed	Yes	0.09	Rainforest	"The Rusty Bean or Hairy rosewood, Dysoxylum rufum is a rainforest tree found in eastern Australia.  Typically reaching 10 metres however able to grow up to 30 metres this tree is harvested from the wild for its timber.  It usually an understorey tree, though sometimes growing into the canopy, found in subtropical, dry and tropical forests. A fast-growing and tolerant of full sun and shade, this is an excellent regeneration tree. "							
Elaeocarpus angustifolius	Elaeocarpaceae	Least concern	Not listed	Yes	0.18	Rainforest	"Blue quandong, Elaeocarpus angustifolius produces round and blue fruit which are eaten whole by cassowaries, woompoo pigeon and spectacled flying foxes."							
Elaeocarpus eumundi	Elaeocarpaceae	Least concern	Not listed	Yes	0.26	Rainforest	"The Eumundi quandong, Elaeocarpus eumundi is a mid-sized rainforest tree native to eastern Australia growing up to 30 metres tall.  It is a popular ornamental tree with its dense evergreen foliage. Stunning bronze foliage forms on young leaves making it a popular edition to gardens, Cream coloured scented flowers form between November and December followed by blue drupe egg shaped fruit. "							
Elaeocarpus obovatus	Elaeocarpaceae	Least concern	Not listed	Yes	0.35	Rainforest	"The Hard quandong, Elaeocarpus obovatus is a large rainforest tree of eastern Australia. Growing to 45 metres tall It grows in tropical and sub-tropical rainforests, less commonly in drier rainforests.  The outer bark of the tree is smooth, grey and thin with corky irregularities. White flowers appear form September to November followed by blue fruit drupe in shape.  Aborigines made necklaces out of the seed after eaten the flesh. "							
Elaeocarpus reticulatus	Elaeocarpaceae	Least concern	Not listed	Yes	0.26	Open forest	"Elaeocarpus reticulatus, the blue berry ash occurs naturally along the east coast of Australia from Frasers Island to Flinders Island Tasmania.  A popular ornamental tree it has deep green foliage which has reddish-pink flushes when young and produces pink feathery flowers with fringed edges.  Dark blue berries from which it gets it name from form after flowering.  The fruits have an edible outer skin which are popular for jam making. "							
Elaeodendron australe	Celastraceae	Least concern	Not listed	Yes	0.09	Littoral rainforest or dry rainforests	"The Chinchilla white gum, Eucalyptus argophloia has a limited range and is known only from a small area north east of Chinchilla where it grows in brown to black clay or clay-loam soils."							
Eucalyptus argophloia	Myrtaceae	Vulnerable	Vulnerable	Yes	1.05	Dry Sclerophyll Forest	"The Chinchilla white gum, Eucalyptus argophloia has a limited range and is known only from a small area north east of Chinchilla where it grows in brown to black clay or clay-loam soils."							
Eucalyptus bancroftii	Myrtaceae	Least concern	Not listed	Yes	0.09	"Dry sclerophyll woodland on sandy soils in low, swampy sites"	"Bancroft's red gum, Eucalyptus bancroftii is small eucalypts growing to 10 metres in height endemic to eastern Australia. It is mainly found in coastal areas but extends to the adjacent tablelands and grows in open forest and woodland, sometimes in low swampy sites but also on rock outcrops on the tablelands. It has smooth bark, lance-shaped or curved adult leaves, flower buds usually arranged in groups of seven, white flowers and cup-shaped, conical or hemispherical fruit."							
Eucalyptus camaldulensis	Myrtaceae	Least concern	Not listed	Yes	0.18	Open forest	"River red gum, Eucalyptus camaldulensis is a tall tree typically growing to a height of 20 metres. The bark is smooth white or cream-coloured with patches of yellow, pink or brown. There is often loose, rough slabs of rough bark near the base. E. camaldulensis has the widest natural distribution of any eucalyptus species. It is commonly found along waterways and there are only a few locations where the species is found away from a watercourse. Seven subspecies of E. camaldulensis have been described and accepted. "							
Eucalyptus carnea	Myrtaceae	Least concern	Not listed	Yes	0.26	Wet sclerophyll or grassy coastal forests	"White mahogany, Eucalyptus carnea economically, it is one of Australia's most important hardwoods."							
Eucalyptus cloeziana	Myrtaceae	Least concern	Not listed	Yes	0.18	Open forest	"A medium to tall tree, the Gympie Messmate, Eucalyptus cloeziana has a wide-ranging yet scattered distribution throughout Queensland.  Commonly 10 to 15 meters tall, the Gympie Messmate can reach up to 60 metres if grown in suitable conditions.  The hard timber is very durable and used in heavy engineering projects.  The species name is in honour of the French chemist Stanislas Cloez.  Cloez was the first to isolate eucalyptol from the leave of the eucalyptus for the treatment of respiratory illness.   "							
Eucalyptus crebra	Myrtaceae	Least concern	Not listed	Yes	0.35	Open forest and woodland	"The Narrow-leaved ironbark, Eucalyptus crebra is a large spreading tree up to 35 metres tall. The ironbark group get their name from the generally hard, rough furrowed bark on their trunks and large branches.  This bark is embedded with a substance called kino, a red gum.  Kino has been used in many countries as a traditional medicine due to its antibacterial and astringent properties.   "							
Eucalyptus curtisii	Myrtaceae	Near threatened	Not listed	Yes	0.53	Open forest	"Plunkett mallee, Eucalyptus curtisii is a threatened species found growing naturally in a restricted area about 60 km south of Brisbane near Plunkett. In its natural habitat it forms a mallee-like shrub or small tree 2 - 7 m high. "							
Eucalyptus deanei	Myrtaceae	Least concern	Not listed	Yes	0.09	Tall forests in sheltered valleys	"In the 1930s a large area containing a closed forest of Mountain blue gums, Eucalyptus deanei was saved from logging by a group of bushwalkers.  The naturalists pooled their finances together in order to purchase the land and protect it for future generations.  This area now makes up part of the World Heritage-listed Blue Mountains National Park.  "							
Eucalyptus longirostrata	Myrtaceae	Least concern	Not listed	Yes	0.09	Wet Sclerophyll Forest	"The Grey gum, Eucalyptus longirostrata is Endemic to South-East Queensland.  This smooth barked gum can reach 30 metres.  Mottled orange, cream and copper colours of new bark becomes a dull grey with age and take on a granular texture before shedding to expose stripes of colour again. "							
Eucalyptus major	Myrtaceae	Least concern	Not listed	Yes	0.09	Open forest	"The Small-fruited grey gum, Eucalyptus major is a medium size tree endemic to south-east Queensland. It is a smooth barked eucalypt, which sheds its granular grey bark in strips to reveal mottled cream, pink, orange and grey tones.  It can be identified by its highly discolorous (paler on the underside of the leaf) adult leaves which are a koala food source. white bird attracting flowers appear from mid-summer to autumn.  "							
Eucalyptus melanophloia	Myrtaceae	Least concern	Not listed	Yes	0.18	Grassy or sclerophyll woodland	"The Silver leaf iron bark, Eucalyptus melanophloia can be easily identified by its unusual branching pattern and striking silver foliage.  This medium size tree is dominant species in many of the inland grassy woodland and sclerophyll forests it inhabits.  Generally, a medium upright tree, those found in the Mareeba and Mt Isa region differ by forming mallees.  The Silver leaf iron bark ranges widely from far North Queensland to Northern New South Wales and into the Northern Territory.       "							
Eucalyptus melliodora	Myrtaceae	Least concern	Not listed	Yes	0.09	Grassy woodlands	"The Yellow box Eucalyptus melliodora is one of the most utilized native trees for honey production due to the abundance of fragrant nectar filled flowers in the warmer months.   A medium to tall growing tree, it is easily identified by its unusual yellowish-brown bark which can vary from smooth to rough partly or all the way down the trunk.   The Yellow box is an excellent food source for many creatures including caterpillars, butterflies, koalas, gliders and birds."							
Eucalyptus microcorys	Myrtaceae	Least concern	Not listed	Yes	1.93	Open forest and woodland	"Tallowwood, Eucalyptus microcorys is endemic to eastern Australia. This medium to tall tree has red-brown rough, fibrous or stringy bark on the trunk and branches.  The timber is naturally oily with a high tannin content making is highly used for decking and furniture. The Tallowwood name is believed to refer to the greasy (tallow) feel of the wood when cut. White to lemon coloured flowers form on the tree from July to November.  This tree is a food source for koalas, birds, insects and mammals.  "							
Eucalyptus moluccana	Myrtaceae	Least concern	Not listed	Yes	0.44	Open forest	"The Gum-topped box, Eucalyptus moluccana is widespread throughout coastal areas of New South Wales to North Queensland.  Eucalyptus moluccana is characterised by the rough bark stocking that covers the bottom half of the tree.  Above the stocking is a grey smooth bark which sheds to reveal white sometimes silky bark underneath. The tree is an important koala food source.  "							
Eucalyptus pellita	Myrtaceae	Least concern	Not listed	Yes	0.18	Open forest	"The Large-fruited red mahogany, Eucalyptus pellita is a medium to large tree endemic to the east coast of North Queensland and parts of Papua New Guinea.  Preferring wetter soils, it can be found forming wet sclerophyll forest adjacent to rainforest areas and occasionally as a smaller tree growing in littoral sands with other heath-like plants.  Has been known to naturally hybridise with other Eucalypt species.  "							
Eucalyptus propinqua	Myrtaceae	Least concern	Not listed	Yes	1.40	Open forest	"The Small-fruited grey gum, Eucalyptus propinqua is a medium to large tree growing to a height of 40 meters tall.  The bark is smooth, becoming granular with age. Colouration can vary from mottled grey, cream, pink, orange, coppery or yellow, the bark sheds in strips.  This species is closely related to the Grey gum, Eucalyptus major.  It is distinguished from E. major by having smaller buds.  The Small-fruited grey gum is a timber tree it has been used in heavy engineering for poles and railway sleepers.  Nectar produced by the flowers is also used to produce honey. "							
Eucalyptus raveretiana	Myrtaceae	Vulnerable	Vulnerable	Yes	0.53	"Open forest, woodlands and along creeks and rivers"	"Populations of the Black ironbox, Eucalyptus raveretiana can be found growing in open forest from Rockhampton to Townsville along fertile sedimentary rivers and creeks.  A medium-sized tree, the Black ironbox can regenerate from lignotubers; a swollen food store with dormant buds at the base of many eucalypts that allow them to reshoot if damaged.  "							
Eucalyptus resinifera	Myrtaceae	Least concern	Not listed	Yes	0.18	Open forest	"The Red stringybark, Eucalyptus resinifera gets its name from the Latin meaning “to carry or to bear resin”.  This is in reference to the red gum like substance called kino the bark contains.  It is found along the eastern coast of Australia in both dry and wet sclerophyll forest where it prefers fertile soil.  A medium to large tree, it is well utilized for its robust dark red timber in flooring and general construction.  The Red stringybark is also a valuable koala food tree.   "							
Eucalyptus robusta	Myrtaceae	Least concern	Not listed	Yes	0.53	Swampy coastal open forest	"Living up to 200 years, the Swamp mahogany, Eucalyptus robusta is native to eastern Australia. It is found in both fresh or brackish swamp areas or where the water table it high.  This adaptable species can grow in a variety of soils from heavy clay to sand and will withstand acidic soils as low as 2.5 on the pH scale.  It is a vital winter-flowering tree for nectivorous species and leaves provide nourishment for hungry koalas.  "							
Eucalyptus robusta x tereticornis	Myrtaceae	Least concern	Not listed	Yes	0.26	Open forest	"The Forest red gum Eucalyptus robusta x tereticornis is a naturally occurring hybrid between these two species.  Hybrids with Eucalyptus robusta are not uncommon where they occur closely to other species of the same subgenus, a taxonomic subdivision category of plants ranking below genus and above species.  "							
Eucalyptus saligna subsp. saligna	Myrtaceae	Least concern	Not listed	Yes	0.18	Open forest	"The Sydney blue gum Eucalyptus saligna subsp. Saligna can live up to 200 years, likely due to its ability to regenerate successfully from epicormic buds below the bark of the trunk after bushfire or damage has occurred.  The quick growing forestry tree is valued for its hard, dark honey coloured timber, used in boatbuilding, furniture making and flooring.  Flowers of the Sydney blue gum are a food source for the vulnerable grey-headed flying fox and the seed is popular addition to the diets of the iconic crimson rosella. "							
Eucalyptus seeana	Myrtaceae	Least concern	Not listed	Yes	0.44	Open forest	"The Narrow-leaved red gum, Eucalyptus seeana is a small to medium-sized woodland red gum tree of coastal and subcoastal New South Wales northwards into Queensland. It typically grows in woodlands and open forests on low, often swampy, sandy soils. The bark is smooth, sometimes becoming granular with age and a mottle grey, white, pink or orange. "							
Eucalyptus siderophloia	Myrtaceae	Least concern	Not listed	Yes	0.61	Open forest and woodland	"Northern grey ironbark, Eucalyptus siderophloia is a eucalypt of South Eastern Australia, occurring from New South Wales and Queensland.  A medium to large tree reaching 45 metres high, it is found fertile soils of coastal rainforest and areas with wet soils.  "							
Eucalyptus sp.	Myrtaceae			Yes	0.53	Unknown	"The term “Eucalypt” refers to 3 genera of the Myrtaceae family, Eucalyptus, Corymbia and Angophora.  These three groups make up just under 900 species of flowering plants we refer to as gum trees. Eucalypt trees make up to 75% of Australia’s native flora and are distinguished by their wood fruit known as a gumnut.  "							
Eucalyptus tereticornis subsp. tereticornis	Myrtaceae	Least concern	Not listed	Yes	3.25	Open forest	"Forest red gum, Eucalyptus tereticornis has one of the widest ranges of latitudes of any Eucalyptus occurring along eastern Australia from Queensland to Victoria and occurring in Southern Papua New Guinea. The scientific name tereticornis is derived from the latin words ‘terete’ and cornus meaning ‘horn’ in reference to the horn-shaped cap-like structure (operculum) covering the flower bud.  Forest red gum can reach a height of up to 50 meters and a trunk width of up to 2 meters.  The timber of this tree has a strong, hard and durable heartwood making it suitable for construction in heavy engineering for infrastructure such as railway sleepers.  The leaves of this tree are used in the production of eucalyptus oil. "							
Eucalyptus thozetiana	Myrtaceae	Least concern	Not listed	Yes	0.26	Woodland and open forest	"Eucalyptus thozetiana is a medium smooth barked gum with a creamy white to pink colour.   This species was named after the French-Australian botanist Anthelme Thozet.  Thozet brought numerous economic plants into uses in Queensland after trialling many species in his home garden.  An avid plant collector, he was appointed the first Director of the Rockhampton Botanic Gardens.  "							
Euroschinus falcatus var. falcatus	Ancardiaceae	Least concern	Not listed	Yes	0.79	Rainforest and open forest	"Ribbonwood, Euroschinus falcatus var. falcatus is a medium sized tree which grows in a variety of rain forest types however more commonly encountered in drier rainforest.  This species is a timber tree producing wood useful for general purposes.  Ribbonwood flowers from October to December producing small creamy pink to white flowers.  The fruit ripen from December to January they are black, scented and egg shaped each containing one seed.  "							
Excoecaria agallocha	Euphorbiaceae	Least concern	Not listed	Yes	0.09	"Tidal forests, brackish areas"	"The Milky mangrove, Excoecaria agallocha is a common mangrove on tidal riverbanks.  It adapts to its environment with the help of surface roots that can absorb oxygen when exposed to air on low tides. The leaves take up excess salt from the plant and expelling it when they fall from the tree.  The common name is in reference to the milky sap that members of the Euphorbiaceae family contain.  The sap is highly irritating to the skin, poisonous and can result in blindness if contact with the eyes is made.   "							
Falcataria toona	Fabaceae	Least concern	Not listed	Yes	0.09	Monsoon Forest	"Mackay cedar, Falcataria toona produces a decorative general purpose timber."							
Ficus benjamina var. benjamina	Moraceae	Least concern	Not listed	Yes	0.09	"Tropical rainforests, monsoonal forests or mixed wet forests"	"The Weeping fig Ficus benjamina var. benjamina is the official tree of Bangkok, native to tropical areas in Australia and Asia.  It is commonly sold by nurseries as an indoor plant due to the glossy leaves, graceful arching habit and hardiness, however the Ficus benjamina can reach 30 metres in its natural environment.  It is not recommended for small yards due to the well-earned reputation for lifting walkways and damaging structures with its adventitious root system.  It is a food source for many native rainforest pigeons. "							
Ficus congesta	Moraceae	Least concern	Not listed	Yes	0.09	Rainforest	"The Red-leaf Fig, Ficus congesta is small rainforest fig to 6 metres in height.  As the name suggests new growth is a reddish copper colour. Often found inhabiting edges of creekbanks, the Red leafed fig is a food source for the cassowary and endangered spectacle flying fox.   "							
Ficus coronata	Moraceae	Least concern	Not listed	Yes	0.44	"Watercourses and gullies in rainforest, and less commonly in open forest"	"The Sandpaper fig, Ficus coronata is a small tree which can reach 6- 12m in height, although generally smaller.  The sandpaper fid is found along watercourses and gullies in rainforests, less commonly found in open forests. It is best known for its rough sandpaper like leaves.  The fruit is edible and was consumed by local Aboriginal people."							
Ficus macrophylla	Moraceae	Least concern	Not listed	Yes	0.18	"Subtropical, warm temperate and dry rainforest"	"The Moreton Bay fig, Ficus macrophylla is a native of Eastern Australia rainforest.  This massive spreading tree usually starts life as an epiphyte or a plant that grows on another plant.  Seeds that are dispersed by birds land in the canopies of host trees where they germinate and send down roots to make contact with the ground.  Once these roots have access to nutrients they enlarge and grow around the host, this process stops the host tree from growing larger while competing for valuable nutrients and sunlight.  In most cases the host tree dies.  Over time the original tree rots away and the strangler fig becoming a hollow free-standing tree up to 60 metres in height.  It is an impressive feature tree in large gardens.    "							
Ficus macrophylla forma macrophylla	Moraceae	Least concern	Not listed	Yes	0.18	Rainforest	"The Moreton Bay fig, Ficus macrophylla forma macrophylla is found in rainforests from Southern Queensland to North Eastern NSW."							
Ficus microcarpa	Moraceae	Least concern	Not listed	Yes	0.61	Rainforest	"The Small-fruited fig, Ficus microcarpa can be found in rainforest and littoral forest throughout North Queensland, it is also native to New Guinea, India, South East Asia and the Pacific Islands.  Reaching up to 20 metres high, the small leaf fig can spread to around 15 metres wide by producing large numbers of prop roots.  These are adventitious aerial roots develop on the branches that make there way down to the ground.  Over time these prop roots thicken become a trunk like support for the spreading canopy.  "							
Ficus microcarpa var. hilli	Moraceae	Least concern	Not listed	Yes	0.44	Rainforest	"Ficus microcarpa var. hillii is a large broad fig from the coastal rainforests of Queensland.  This dense evergreen tree can reach a height of 20 meters grow up to 15 metres wide with prop roots helping to support the crown.  The figs of this species, which are not actually fruit but a type of modified flower, is variable in colour and can be pink, purple, black, orange red or cream. Roots of this species are tree are invasive.  "							
Ficus microcarpa var. microcarpa	Moraceae	Least concern	Not listed	Yes	0.09	Rainforest	"The Small-fruited fig, Ficus microcarpa can be found in rainforest and littoral forest throughout North Queensland, it is also native to New Guinea, India, South East Asia and the Pacific Islands.  Reaching up to 20 metres high, the small leaf fig can spread to around 15 metres wide by producing large numbers of prop roots.  These are adventitious aerial roots develop on the branches that make there way down to the ground.  Over time these prop roots thicken become a trunk like support for the spreading canopy.  "							
Ficus nodosa	Moraceae	Least concern	Not listed	Yes	0.18	Gallery forest along creeks and rivers	"The fruits of the Rocky River Fig, Ficus nodosa are eaten by Bare-backed Fruit bats as well as many varieties of rainforest bird.  It is native to parts of northern Australia and Papua New Guinea, Malesia and the Pacific Islands.  The tree is deciduous between July and September. The Rocky river fig can reach 30 metres in height and is supported by buttress roots that grow up to 4 metres tall."							
Ficus obliqua	Moraceae	Least concern	Not listed	Yes	0.18	Moist subtropical rainforest	"The small-leaved fig, Ficus obliqua can be found in rainforest and vine thickets along the eastern coast of Australia, The Pacific Islands and Malesia.  It is a popular shade tree for public spaces and is also used for bonsai.  This evergreen tree can reach up to 60 metres in height supported by a buttressed trunk.  Small fruit turn from yellow to red when ripe as a food source for many species of bird.      "							
Ficus platypoda	Moraceae	Least concern	Not listed	Yes	0.18	"Sandstone outcrops, but has occasionally been found on limestone outcrops"	"The Desert Fig, Ficus platypoda is an attractive small tree to 8 metres.  Native to central and northern Australia where it is found growing on rocky outcrops and sandstone soils.  It is sometimes epiphytic (a plant growing on another plant) or lithophytic (growing on rocks) and may have aerial roots.  Fruit is popular with birds and is a bush tucker food.  A good bonsai specimen due to hardiness and positive response to pruning.  "							
Ficus racemosa	Moraceae	Least concern	Not listed	Yes	0.18	Rainforest	"The Cluster fig, Ficus racemosa gets its name from the Latin word racemose in reference to the clustering structure of the fruit which makes this species easily recognisable.  Native to Australia, Malesia and South East Asia, they are a utilized in Indian medicine for a variety of ailments and disease and are a staple food of the Indian macaque monkey.   "							
Ficus racemosa var. racemosa	Moraceae	Least concern	Not listed	Yes	0.09	Rainforest	"The Cluster fig, Ficus racemosa gets its name from the Latin word racemose in reference to the clustering structure of the fruit which makes this species easily recognisable.  Native to Australia, Malesia and South East Asia, they are a utilized in Indian medicine for a variety of ailments and disease and are a staple food of the Indian macaque monkey.   "							
Ficus rubiginosa	Moraceae	Least concern	Not listed	Yes	0.26	Rainforest and fringing forest	"The rusty fig, Ficus rubiginosa, is wide spreading tree to 30 metres.  It is usually an epiphyte, growing in the canopy of other trees until it develops enough of a root system to support itself.  The name is derived from the word rubiginosus meaning rusty red and refers to the rust colour leaf hairs that may be present.  The rusty fig is a popular shade tree and indoor plant.  "							
Ficus rubiginosa forma glabrescens	Moraceae	Least concern	Not listed	Yes	0.35	Rainforest and fringing forest	"The rusty fig, Ficus rubiginosa, is wide spreading tree to 30 metres.  It is usually an epiphyte, growing in the canopy of other trees until it develops enough of a root system to support itself.  The name is derived from the word rubiginosus meaning rusty red and refers to the rust colour leaf hairs that may be present.  The rusty fig is a popular shade tree and indoor plant.  "							
Ficus septica	Moraceae	Least concern	Not listed	Yes	0.09	Montane forests or secondary growth environments	"The Septic fig, Ficus septica is a large shrub or tree growing to 15 metres.  The figs have a green flesh that develops white raised dots when ripe.  These form on the main stem or old often leafless branches and are a popular food with native rats, parrots and the vulnerable Spectacle Flying fox.  "							
Ficus superba var. henneana	Moraceae	Least concern	Not listed	Yes	0.09	"Riverine, littoral or the drier forms of rainforest"	The Ficus superba var. henneana is a deciduous tree growing to 35 metres high with buttressed roots endemic to Australia.   Seeds of this “strangler fig” often germinate in the canopy of other trees where there is access to water and light.  It is a food source for the many mammals and birds including the rare and endangered Coxen's Fig-parrot. 							
Ficus virens	Moraceae	Least concern	Not listed	Yes	0.44	Rainforest	"The White fig, Ficus virens is a strangler fig found in rainforest throughout Northern Australia, India, southeast Asia and Malaysia.  The fruit, like many figs are eatable as are the leaves which some cultures cook and used as a vegetable."							
Ficus virens var. sublanceolata	Moraceae	Least concern	Not listed	Yes	0.09	Rainforest	"Ficus virens var. sublanceolata is a rainforest tree native to the east coast of Australia from New South Wales through to North Queensland.  Often starting out life in the rainforest canopy as an epiphyte, a plant growing on another plant, it can reach a height of 30 metres when mature.  Branches develop thick prop roots help to support the wide canopy that can be wider than the tree is tall.  "							
Ficus virens var. virens	Moraceae	Least concern	Not listed	Yes	0.09	Rainforest	"Ficus virens var. virens like other Ficus species have a symbiotic relationship with their only pollinator, the fig wasp.  It is a unique relationship of coevolution where one cannot survive without the other.  The Ficus relies on the wasp to pollinate their flowers and the fig wasps are born, mate and die inside the fig.  The plant detects the presence of egg once laid and surrounds it with enough food to grow and continue the life cycle.    "							
Ficus watkinsiana	Moraceae	Least concern	Not listed	Yes	0.26	Rainforest	"Strangler fig, Ficus watkinsiana produces fruit which is a food source for Cassowaries."							
Flindersia australis	"Rutaceae	"	Least concern	Not listed	Yes	0.88	Rainforest	"Crow's ash, Flindersia australis is a large (40 metre) rainforest tree which is found naturally in Queensland and New South Wales.  Once mature this tree forms a buttressed trunk which is used for timber production for flooding, decking, boat building and furniture production. The timber which is creamy yellow in colour is renowned for is great strength, durability and close grain.   During spring cream to white flowers are formed followed by woody capsules which are 7-10 cm long. The capsules split open to reveal winged seeds.  "							
Flindersia bennettii	"Rutaceae	"	Least concern	Not listed	Yes	0.18	Rainforest	"Bennett's ash, Flindersia bennettii is an Australian rainforest that ranges from New south Wales to South East Queensland.  It is one of the many plants named after the British naturalist, Dr. George Bennett.  Bennett’s strong interest in Australia’s native flora and fauna including its extinct species resulted in the discoveries of many new species of plants, a greater detailed understanding of the animal inhabitants and many fossilized archaeological finds.  "							
Flindersia brayleyana	"Rutaceae	"	Least concern	Not listed	Yes	0.09	Rainforest	"The Queensland maple, Flindersia brayleyana is a large, fast growing native rainforest tree.  Despite the name, it is not a true maple but in fact a member of the citrus family Rutaceae. An attractive tree due to its glossy green foliage and clusters of large white flowers in summer, the Flindersia genus is named after the explorer Mathew Flinders.  "							
